ListID,ListName,LogID,Latitude,Longitude,Depth,Timestamp,ItemID,ItemName,Location,Material ID,Material Description,Year,Quantity
22,Marine Debris Items,236912,37.76021823,-122.2173621,-33,2.02E+13,181,Plastic Bottle or Container Caps,"Oakland, CA",4,PLASTIC,2012,1
22,Marine Debris Items,241286,32.77101135,-117.2079315,4.245916843,2.02E+13,189,Foam or Plastic Cups,"San Diego, CA",4,PLASTIC,2010,1
22,Marine Debris Items,241287,32.77101135,-117.2079315,4.245916843,2.02E+13,181,Plastic Bottle or Container Caps,"San Diego, CA",4,PLASTIC,2011,1
22,Marine Debris Items,241288,32.77101135,-117.2079315,4.245916843,2.02E+13,195,Plastic Food Wrappers,"San Diego, CA",4,PLASTIC,2012,1
22,Marine Debris Items,241289,32.7710228,-117.2079163,3.483840466,2.02E+13,189,Foam or Plastic Cups,"San Diego, CA",4,PLASTIC,2013,1
22,Marine Debris Items,241290,32.77099991,-117.2079239,0.494382381,2.02E+13,181,Plastic Bottle or Container Caps,"San Diego, CA",4,PLASTIC,2014,1
22,Marine Debris Items,241291,32.77100754,-117.2079315,2.160460472,2.02E+13,181,Plastic Bottle or Container Caps,"San Diego, CA",4,PLASTIC,2016,1
22,Marine Debris Items,241292,32.77100754,-117.2079315,2.160460472,2.02E+13,177,Plastic Bags,"San Diego, CA",4,PLASTIC,2015,1
22,Marine Debris Items,241293,32.77100754,-117.2079315,2.160460472,2.02E+13,195,Plastic Food Wrappers,"San Diego, CA",4,PLASTIC,2017,1
22,Marine Debris Items,242836,34.01665435,-118.8234957,-23,2.02E+13,202,Plastic or Foam Fragments,"Malibu, CA",4,PLASTIC,2009,19
22,Marine Debris Items,242837,34.01665427,-118.8234956,-23,2.02E+13,189,Foam or Plastic Cups,"Malibu, CA",4,PLASTIC,2010,1
22,Marine Debris Items,242838,34.01664227,-118.8234783,-25,2.02E+13,195,Plastic Food Wrappers,"Malibu, CA",4,PLASTIC,2011,2
22,Marine Debris Items,242839,34.01664265,-118.8234786,-25,2.02E+13,199,Other Plastic Jugs or Containers,"Malibu, CA",4,PLASTIC,2012,1
22,Marine Debris Items,242840,34.01665981,-118.8234776,-25,2.02E+13,177,Plastic Bags,"Malibu, CA",4,PLASTIC,2013,2
22,Marine Debris Items,242841,34.01662951,-118.8234838,-33,2.02E+13,201,Personal care products,"Malibu, CA",4,PLASTIC,2014,1
22,Marine Debris Items,242842,34.01662532,-118.8234902,-32,2.02E+13,202,Plastic or Foam Fragments,"Malibu, CA",4,PLASTIC,2015,10
22,Marine Debris Items,242843,34.01675359,-118.8246819,-33,2.02E+13,179,Plastic Bottle,"Malibu, CA",4,PLASTIC,2016,2
22,Marine Debris Items,242844,34.01675454,-118.824691,-31,2.02E+13,187,Cigarettes,"Malibu, CA",4,PLASTIC,2017,1
22,Marine Debris Items,243452,34.69779587,-76.73945618,2.87183547,2.02E+13,207,Straws,"Sugar Grove, NC",4,PLASTIC,2015,1
22,Marine Debris Items,243453,34.69751358,-76.73950195,2.394525051,2.02E+13,178,Balloons and/or string,"Sugar Grove, NC",4,PLASTIC,2016,1
22,Marine Debris Items,243454,34.69658279,-76.73197174,0.653377533,2.02E+13,177,Plastic Bags,"Sugar Grove, NC",4,PLASTIC,2017,1
22,Marine Debris Items,243562,45.6397438,-122.7631378,11.91531372,2.02E+13,189,Foam or Plastic Cups,"Portland, OR",4,PLASTIC,2011,1
22,Marine Debris Items,243563,45.6397438,-122.7631378,11.91531372,2.02E+13,202,Plastic or Foam Fragments,"Portland, OR",4,PLASTIC,2011,3
22,Marine Debris Items,243564,45.63943863,-122.7628784,9.992584229,2.02E+13,179,Plastic Bottle,"Portland, OR",4,PLASTIC,2012,1
22,Marine Debris Items,243565,45.63938904,-122.7629395,-31.7232666,2.02E+13,195,Plastic Food Wrappers,"Portland, OR",4,PLASTIC,2013,4
22,Marine Debris Items,243599,45.61735153,-122.7514267,-6.878051758,2.02E+13,189,Foam or Plastic Cups,"Portland, OR",4,PLASTIC,2014,2
22,Marine Debris Items,243600,45.61730957,-122.750824,-15.98977661,2.02E+13,207,Straws,"Portland, OR",4,PLASTIC,2015,1
22,Marine Debris Items,243601,45.61730957,-122.750824,-15.98977661,2.02E+13,179,Plastic Bottle,"Portland, OR",4,PLASTIC,2016,1
22,Marine Debris Items,243602,45.61698532,-122.7499847,-69.81091309,2.02E+13,181,Plastic Bottle or Container Caps,"Portland, OR",4,PLASTIC,2017,1
22,Marine Debris Items,243728,25.00868416,-80.51530457,1.826323509,2.02E+13,199,Other Plastic Jugs or Containers,"Key Largo, FL",4,PLASTIC,2011,1
22,Marine Debris Items,243729,25.00867844,-80.51530457,1.813744068,2.02E+13,179,Plastic Bottle,"Key Largo, FL",4,PLASTIC,2012,1
22,Marine Debris Items,243730,25.00876427,-80.51525116,1.978745818,2.02E+13,177,Plastic Bags,"Key Largo, FL",4,PLASTIC,2013,1
22,Marine Debris Items,243731,25.00876999,-80.51524353,1.990588427,2.02E+13,179,Plastic Bottle,"Key Largo, FL",4,PLASTIC,2014,1
22,Marine Debris Items,243732,25.00885963,-80.5152359,2.242244005,2.02E+13,202,Plastic or Foam Fragments,"Key Largo, FL",4,PLASTIC,2015,1
22,Marine Debris Items,243733,25.00889778,-80.51521301,2.270362854,2.02E+13,195,Plastic Food Wrappers,"Key Largo, FL",4,PLASTIC,2016,1
22,Marine Debris Items,243734,25.00898743,-80.51513672,2.172236204,2.02E+13,195,Plastic Food Wrappers,"Key Largo, FL",4,PLASTIC,2017,1
22,Marine Debris Items,243748,32.77093506,-117.2082214,0.254573822,2.02E+13,181,Plastic Bottle or Container Caps,"San Diego, CA",4,PLASTIC,2008,1
22,Marine Debris Items,243749,32.7709465,-117.2081909,-0.436552942,2.02E+13,185,Cigarette lighters/tobacco packaging,"San Diego, CA",4,PLASTIC,2009,1
22,Marine Debris Items,243750,32.77093506,-117.2081528,-0.311575085,2.02E+13,195,Plastic Food Wrappers,"San Diego, CA",4,PLASTIC,2010,1
22,Marine Debris Items,243751,32.77092361,-117.2081909,0.145026639,2.02E+13,181,Plastic Bottle or Container Caps,"San Diego, CA",4,PLASTIC,2011,1
22,Marine Debris Items,243752,32.7709465,-117.2082291,1.549041986,2.02E+13,199,Other Plastic Jugs or Containers,"San Diego, CA",4,PLASTIC,2012,1
22,Marine Debris Items,243753,32.77103806,-117.2081528,3.60804987,2.02E+13,177,Plastic Bags,"San Diego, CA",4,PLASTIC,2013,1
22,Marine Debris Items,243754,32.77100754,-117.2083435,2.40965867,2.02E+13,195,Plastic Food Wrappers,"San Diego, CA",4,PLASTIC,2014,1
22,Marine Debris Items,243755,32.77101135,-117.2083435,2.824107885,2.02E+13,195,Plastic Food Wrappers,"San Diego, CA",4,PLASTIC,2015,1
22,Marine Debris Items,243756,32.7709465,-117.20858,2.834442139,2.02E+13,195,Plastic Food Wrappers,"San Diego, CA",4,PLASTIC,2016,1
22,Marine Debris Items,243757,32.77093887,-117.2086716,2.49850297,2.02E+13,195,Plastic Food Wrappers,"San Diego, CA",4,PLASTIC,2017,1
22,Marine Debris Items,243926,33.85836769,-118.4020055,-30,2.02E+13,202,Plastic or Foam Fragments,"Hermosa Beach, CA",4,PLASTIC,2014,15
22,Marine Debris Items,243927,33.85973515,-118.396289,-13,2.02E+13,177,Plastic Bags,"Hermosa Beach, CA",4,PLASTIC,2015,1
22,Marine Debris Items,243928,33.85972921,-118.3962963,-14,2.02E+13,179,Plastic Bottle,"Hermosa Beach, CA",4,PLASTIC,2016,1
22,Marine Debris Items,243929,33.85972719,-118.3963001,-14,2.02E+13,181,Plastic Bottle or Container Caps,"Hermosa Beach, CA",4,PLASTIC,2017,1
22,Marine Debris Items,244024,27.33279419,-82.57624817,3.453763962,2.02E+13,207,Straws,"Sarasota, FL",4,PLASTIC,2009,1
22,Marine Debris Items,244025,27.33512306,-82.57295227,1.409837723,2.02E+13,195,Plastic Food Wrappers,"Sarasota, FL",4,PLASTIC,2010,7
22,Marine Debris Items,244026,27.33509827,-82.57293701,-3.244245529,2.02E+13,199,Other Plastic Jugs or Containers,"Sarasota, FL",4,PLASTIC,2011,10
22,Marine Debris Items,244027,27.33509827,-82.57293701,-3.244245529,2.02E+13,179,Plastic Bottle,"Sarasota, FL",4,PLASTIC,2012,8
22,Marine Debris Items,244028,27.33509827,-82.57293701,-3.244245529,2.02E+13,181,Plastic Bottle or Container Caps,"Sarasota, FL",4,PLASTIC,2013,4
22,Marine Debris Items,244029,27.3351078,-82.57293701,-4.091108322,2.02E+13,207,Straws,"Sarasota, FL",4,PLASTIC,2014,4
22,Marine Debris Items,244030,27.3351078,-82.57293701,-4.091108322,2.02E+13,205,Plastic Utensils,"Sarasota, FL",4,PLASTIC,2015,1
22,Marine Debris Items,244031,27.3351078,-82.57293701,-4.091108322,2.02E+13,199,Other Plastic Jugs or Containers,"Sarasota, FL",4,PLASTIC,2016,3
22,Marine Debris Items,244032,27.3351078,-82.57293701,-4.091108322,2.02E+13,202,Plastic or Foam Fragments,"Sarasota, FL",4,PLASTIC,2017,19
22,Marine Debris Items,245487,34.69788742,-76.73929596,3.967919588,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2008,1
22,Marine Debris Items,245488,34.69790649,-76.73927307,3.317583799,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2009,2
22,Marine Debris Items,245489,34.69803238,-76.73926544,2.498347998,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2010,2
22,Marine Debris Items,245490,34.69803238,-76.73926544,2.498347998,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2011,1
22,Marine Debris Items,245491,34.69803238,-76.73926544,2.498347998,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2012,1
22,Marine Debris Items,245492,34.6980629,-76.73924255,1.913885832,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2013,4
22,Marine Debris Items,245493,34.69808197,-76.73923492,1.917871714,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2014,1
22,Marine Debris Items,245494,34.69809723,-76.73925018,1.51506269,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2015,1
22,Marine Debris Items,245495,34.69809723,-76.73925018,2.138153553,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2016,2
22,Marine Debris Items,245496,34.69809723,-76.73928833,1.975295901,2.02E+13,187,Cigarettes,"Atlantic Beach, NC",4,PLASTIC,2017,1
22,Marine Debris Items,245520,35.15318116,-120.6650537,-15.35491943,2.02E+13,207,Straws,"Santa Barbara, CA",4,PLASTIC,2013,1
22,Marine Debris Items,245521,35.15318831,-120.6650554,-15.35629272,2.02E+13,195,Plastic Food Wrappers,"Santa Barbara, CA",4,PLASTIC,2014,1
22,Marine Debris Items,245522,35.1531009,-120.661049,-4.856445313,2.02E+13,177,Plastic Bags,"Santa Barbara, CA",4,PLASTIC,2015,1
22,Marine Debris Items,245523,35.1519868,-120.6610258,1.670471191,2.02E+13,181,Plastic Bottle or Container Caps,"Santa Barbara, CA",4,PLASTIC,2016,1
22,Marine Debris Items,245524,35.12873455,-120.636129,-29.03631592,2.02E+13,205,Plastic Utensils,"Santa Barbara, CA",4,PLASTIC,2017,1
22,Marine Debris Items,245565,30.38037872,-86.86244202,3.086797714,2.02E+13,177,Plastic Bags,"Navarre, FL",4,PLASTIC,2010,19
22,Marine Debris Items,245566,30.38033104,-86.86251068,3.086797714,2.02E+13,181,Plastic Bottle or Container Caps,"Navarre, FL",4,PLASTIC,2011,94
22,Marine Debris Items,245567,30.3802948,-86.86248779,3.086797714,2.02E+13,195,Plastic Food Wrappers,"Navarre, FL",4,PLASTIC,2012,274
22,Marine Debris Items,245568,30.38029861,-86.86248016,3.086797714,2.02E+13,201,Personal care products,"Navarre, FL",4,PLASTIC,2013,40
22,Marine Debris Items,245569,30.38046455,-86.8624649,3.086797714,2.02E+13,177,Plastic Bags,"Navarre, FL",4,PLASTIC,2014,91
22,Marine Debris Items,245570,30.38041496,-86.86251831,3.086797714,2.02E+13,189,Foam or Plastic Cups,"Navarre, FL",4,PLASTIC,2015,68
22,Marine Debris Items,245571,30.38040733,-86.8625412,3.086797714,2.02E+13,205,Plastic Utensils,"Navarre, FL",4,PLASTIC,2016,12
22,Marine Debris Items,245572,30.38040924,-86.8625412,3.086797714,2.02E+13,206,Six-pack rings,"Navarre, FL",4,PLASTIC,2017,1
22,Marine Debris Items,245620,48.97143766,-123.0826862,-10.70959473,2.02E+13,207,Straws,"Point Roberts, WA",4,PLASTIC,2012,1
22,Marine Debris Items,245621,48.97143757,-123.0826868,-10.92590332,2.02E+13,195,Plastic Food Wrappers,"Point Roberts, WA",4,PLASTIC,2013,1
22,Marine Debris Items,245622,48.97179179,-123.0841526,-17.88912964,2.02E+13,178,Balloons and/or string,"Point Roberts, WA",4,PLASTIC,2014,1
22,Marine Debris Items,245625,48.9720422,-123.084418,-17.64465332,2.02E+13,199,Other Plastic Jugs or Containers,"Point Roberts, WA",4,PLASTIC,2015,1
